site,count,year,,,,,,
A01-01,NA,2015,,,,,,
A01-02,0,2015,,,,,,
A01-03,0,2015,,,,,,
A02-01,0,2015,,,,,,
A02-02,NA,2015,,,,,,
A02-03,0,2015,,,,,,
A03-01,0,2015,,,,,,
A03-03,0,2015,,,,,,
A03-06,NA,2015,,,,,,
A03-07,0,2015,,,,,,
A03-09,0,2015,,,,,,
A03-10,0,2015,,,,,,
A04-01,NA,2015,,,,,,
A04-02,NA,2015,,,,,,
A04-03,0,2015,,,,,,
A04-04,0,2015,,,,,,
A04-05,0,2015,,,,,,
A04-06,0,2015,,,,,,
A04-09,0,2015,,,,,,
A04-10,0,2015,,,,,,
A05-01,0,2015,,,,,,
A05-04,0,2015,,,,,,
A05-05,0,2015,,,,,,
A05-06,NA,2015,,,,,,
A09-01,0,2015,,,,,,
A09-02,0,2015,,,,,,
A09-03,0,2015,,,,,,
A09-04,0,2015,,,,,,
A09-05,0,2015,,,,,,
A09-06,NA,2015,,,,,,
A09-08,0,2015,,,,,,
A09-09,NA,2015,,,,,,
A09-10,0,2015,,,,,,
A09-12,0,2015,,,,,,
A09-13,0,2015,,,,,,
A09-14,NA,2015,,,,,,
A09-15,0,2015,,,,,,
A09-16,0,2015,,,,,,
A09-17,NA,2015,,,,,,
A09-18,0,2015,,,,,,
A09-19,0,2015,,,,,,
A09-20,0,2015,,,,,,
A09-22,0,2015,,,,,,
A09-23,NA,2015,,,,,,
A09-24,NA,2015,,,,,,
A09-26,NA,2015,,,,,,
A10-01,0,2015,,,,,,
A10-02,0,2015,,,,,,
A10-03,0,2015,,,,,,
A10-04,NA,2015,,,,,,
A12-01,0,2015,,,,,,
A12-02,0,2015,,,,,,
A12-06,0,2015,,,,,,
A16-01,0,2015,,,,,,
A16-02,0,2015,,,,,,
A16-03,0,2015,,,,,,
A16-04,2,2015,,,,,,
A16-05,2,2015,,,,,,
A17-01,0,2015,,,,,,
A17-02,0,2015,,,,,,
A17-03,NA,2015,,,,,,
A17-04,0,2015,,,,,,
A17-09,1,2015,,,,,,
A18-01,2,2015,,,,,,
A18-02,0,2015,,,,,,
A18-03,0,2015,,,,,,
A18-04,0,2015,,,,,,
A19-01,1,2015,,,,,,
A19-02,0,2015,,,,,,
A19-03,0,2015,,,,,,
A19-04,0,2015,,,,,,
A19-05,0,2015,,,,,,
A19-06,0,2015,,,,,,
A20-01,0,2015,,,,,,
A20-02,1,2015,,,,,,
A20-03,0,2015,,,,,,
A20-04,1,2015,,,,,,
A20-05,1,2015,,,,,,
A21-01,NA,2015,,,,,,
A21-02,0,2015,,,,,,
A22-01,0,2015,,,,,,
A22-07,0,2015,,,,,,
A22-08,0,2015,,,,,,
A24-01,0,2015,,,,,,
A24-02,0,2015,,,,,,
A25-01,0,2015,,,,,,
A26-01,2,2015,,,,,,
A26-02,0,2015,,,,,,
A26-03,0,2015,,,,,,
A26-04,1,2015,,,,,,
A26-06,NA,2015,,,,,,
A27-01,0,2015,,,,,,
A27-02,0,2015,,,,,,
A27-03,0,2015,,,,,,
A27-04,0,2015,,,,,,
A27-05,0,2015,,,,,,
A27-06,0,2015,,,,,,
A27-07,0,2015,,,,,,
A27-08,NA,2015,,,,,,
A27-10,0,2015,,,,,,
A27-12,0,2015,,,,,,
A27-17,NA,2015,,,,,,
A27-18,0,2015,,,,,,
A27-19,0,2015,,,,,,
A27-21,NA,2015,,,,,,
A27-22,0,2015,,,,,,
A27-24,0,2015,,,,,,
A27-25,0,2015,,,,,,
A27-27,0,2015,,,,,,
A27-28,0,2015,,,,,,
A27-29,0,2015,,,,,,
A27-30,NA,2015,,,,,,
A27-31,0,2015,,,,,,
A27-32,0,2015,,,,,,
A27-33,0,2015,,,,,,
A28-01,NA,2015,,,,,,
A28-02,NA,2015,,,,,,
A28-03,NA,2015,,,,,,
A28-04,0,2015,,,,,,
A28-06,0,2015,,,,,,
A28-08,0,2015,,,,,,
A28-09,0,2015,,,,,,
A28-10,1,2015,,,,,,
A28-12,NA,2015,,,,,,
A28-13,NA,2015,,,,,,
A28-14,0,2015,,,,,,
A29-01,0,2015,,,,,,
A29-02,0,2015,,,,,,
A29-03,0,2015,,,,,,
A29-04,0,2015,,,,,,
A29-05,1,2015,,,,,,
A29-06,0,2015,,,,,,
A29-07,NA,2015,,,,,,
A29-08,0,2015,,,,,,
A29-10,NA,2015,,,,,,
A29-11,0,2015,,,,,,
A29-12,NA,2015,,,,,,
A29-13,NA,2015,,,,,,
A29-14,NA,2015,,,,,,
A29-15,NA,2015,,,,,,
A30-03,0,2015,,,,,,
A32-01,0,2015,,,,,,
A32-02,1,2015,,,,,,
A32-03,0,2015,,,,,,
A32-04,0,2015,,,,,,
A32-05,NA,2015,,,,,,
A32-06,0,2015,,,,,,
A32-07,0,2015,,,,,,
A33-01,0,2015,,,,,,
A33-02,0,2015,,,,,,
A33-03,0,2015,,,,,,
A33-04,NA,2015,,,,,,
A33-05,0,2015,,,,,,
A33-06,0,2015,,,,,,
A33-07,1,2015,,,,,,
A33-08,3,2015,,,,,,
A33-09,0,2015,,,,,,
A33-10,0,2015,,,,,,
A33-11,0,2015,,,,,,
A33-12,0,2015,,,,,,
A33-13,0,2015,,,,,,
A33-14,0,2015,,,,,,
A33-15,0,2015,,,,,,
A33-16,0,2015,,,,,,
A33-17,NA,2015,,,,,,
A33-18,0,2015,,,,,,
A33-23,NA,2015,,,,,,
A34-01,0,2015,,,,,,
A34-02,0,2015,,,,,,
A34-03,NA,2015,,,,,,
A34-04,1,2015,,,,,,
A34-05,0,2015,,,,,,
A34-06,0,2015,,,,,,
A34-07,0,2015,,,,,,
A34-08,0,2015,,,,,,
A34-17,0,2015,,,,,,
A34-21,0,2015,,,,,,
A34-22,NA,2015,,,,,,
A34-23,0,2015,,,,,,
A34-24,NA,2015,,,,,,
A34-25,NA,2015,,,,,,
A34-26,NA,2015,,,,,,
A34-27,0,2015,,,,,,
A34-31,0,2015,,,,,,
A34-32,NA,2015,,,,,,
A34-33,0,2015,,,,,,
A34-34,0,2015,,,,,,
A34-35,0,2015,,,,,,
A34-37,NA,2015,,,,,,
A35-01,0,2015,,,,,,
A35-03,0,2015,,,,,,
A35-04,0,2015,,,,,,
A35-05,0,2015,,,,,,
A35-06,0,2015,,,,,,
A35-07,0,2015,,,,,,
A35-08,0,2015,,,,,,
A35-09,0,2015,,,,,,
A35-10,0,2015,,,,,,
A35-12,0,2015,,,,,,
A35-13,0,2015,,,,,,
A36-01,0,2015,,,,,,
A36-02,0,2015,,,,,,
A36-03,0,2015,,,,,,
A36-04,NA,2015,,,,,,
A36-05,0,2015,,,,,,
A36-09,NA,2015,,,,,,
A36-14,0,2015,,,,,,
A36-15,0,2015,,,,,,
A36-16,0,2015,,,,,,
A37-01,0,2015,,,,,,
A37-02,0,2015,,,,,,
A37-03,0,2015,,,,,,
A37-04,0,2015,,,,,,
A37-05,NA,2015,,,,,,
A37-07,0,2015,,,,,,
A37-08,0,2015,,,,,,
A37-09,0,2015,,,,,,
A39-01,0,2015,,,,,,
A39-03,NA,2015,,,,,,
A39-04,NA,2015,,,,,,
A39-07,0,2015,,,,,,
A40-01,NA,2015,,,,,,
A40-02,NA,2015,,,,,,
A40-03,NA,2015,,,,,,
A40-05,NA,2015,,,,,,
A40-06,NA,2015,,,,,,
A40-09,NA,2015,,,,,,
A40-10,0,2015,,,,,,
A40-11,0,2015,,,,,,
A40-12,0,2015,,,,,,
A41-01,0,2015,,,,,,
A41-02,0,2015,,,,,,
A41-05,NA,2015,,,,,,
B06-01,1,2015,,,,,,
B10-01,0,2015,,,,,,
B10-02,0,2015,,,,,,
B10-03,NA,2015,,,,,,
B11-01,0,2015,,,,,,
B13-01,0,2015,,,,,,
B13-02,0,2015,,,,,,
B13-03,0,2015,,,,,,
B14-01,0,2015,,,,,,
B14-02,1,2015,,,,,,
B14-03,0,2015,,,,,,
B14-04,0,2015,,,,,,
B16-01,0,2015,,,,,,
B16-02,0,2015,,,,,,
B21-01,1,2015,,,,,,
B28-01,0,2015,,,,,,
B28-04,NA,2015,,,,,,
B29-01,NA,2015,,,,,,
B29-02,0,2015,,,,,,
B30-01,0,2015,,,,,,
B30-02,0,2015,,,,,,
B30-04,0,2015,,,,,,
B32-01,0,2015,,,,,,
B32-02,0,2015,,,,,,
B32-03,NA,2015,,,,,,
B32-04,NA,2015,,,,,,
B32-05,0,2015,,,,,,
B33-01,1,2015,,,,,,
B33-02,0,2015,,,,,,
B36-02,NA,2015,,,,,,
B37-01,NA,2015,,,,,,
B37-02,0,2015,,,,,,
B37-03,NA,2015,,,,,,
B38-01,0,2015,,,,,,
B38-02,NA,2015,,,,,,
B38-03,NA,2015,,,,,,
B38-04,NA,2015,,,,,,
B38-07,1,2015,,,,,,
B38-08,0,2015,,,,,,
C14-01,0,2015,,,,,,
C14-02,1,2015,,,,,,
C14-03,0,2015,,,,,,
C14-04,0,2015,,,,,,
C30-01,0,2015,,,,,,
C30-02,0,2015,,,,,,
C37-01,1,2015,,,,,,
C37-02,0,2015,,,,,,
C37-03,0,2015,,,,,,
C37-04,0,2015,,,,,,
C37-05,0,2015,,,,,,
A01-01,NA,2016,,,,2019,2020,2021
A01-02,0,2016,,,,,,
A01-03,NA,2016,,,,,,
A02-01,0,2016,,,,,,
A02-02,NA,2016,,,,,,
A02-03,NA,2016,,,,,,
A03-01,0,2016,,,,,,
A03-03,0,2016,,,,,,
A03-06,NA,2016,,,,,,
A03-07,0,2016,,,,,,
A03-09,0,2016,,,,,,
A03-10,0,2016,,,,,,
A04-01,NA,2016,,,,,,
A04-02,NA,2016,,,,,,
A04-03,0,2016,,,,,,
A04-04,0,2016,,,,,,
A04-05,0,2016,,,,,,
A04-06,0,2016,,,,,,
A04-09,NA,2016,,,,,,
A04-10,0,2016,,,,,,
A05-01,0,2016,,,,,,
A05-04,0,2016,,,,,,
A05-05,NA,2016,,,,,,
A05-06,NA,2016,,,,,,
A09-01,0,2016,,,,,,
A09-02,0,2016,,,,,,
A09-03,NA,2016,,,,,,
A09-04,0,2016,,,,,,
A09-05,0,2016,,,,,,
A09-06,0,2016,,,,,,
A09-08,0,2016,,,,,,
A09-09,0,2016,,,,,,
A09-10,0,2016,,,,,,
A09-12,0,2016,,,,,,
A09-13,0,2016,,,,,,
A09-14,NA,2016,,,,,,
A09-15,0,2016,,,,,,
A09-16,0,2016,,,,,,
A09-17,0,2016,,,,,,
A09-18,0,2016,,,,,,
A09-19,NA,2016,,,,,,
A09-20,0,2016,,,,,,
A09-22,0,2016,,,,,,
A09-23,NA,2016,,,,,,
A09-24,0,2016,,,,,,
A09-26,0,2016,,,,,,
A10-01,0,2016,,,,,,
A10-02,0,2016,,,,,,
A10-03,NA,2016,,,,,,
A10-04,NA,2016,,,,,,
A12-01,0,2016,,,,,,
A12-02,0,2016,,,,,,
A12-06,0,2016,,,,,,
A16-01,1,2016,,,,,,
A16-02,0,2016,,,,,,
A16-03,NA,2016,,,,,,
A16-04,NA,2016,,,,,,
A16-05,NA,2016,,,,,,
A17-01,0,2016,,,,,,
A17-02,NA,2016,,,,,,
A17-03,NA,2016,,,,,,
A17-04,0,2016,,,,,,
A17-09,0,2016,,,,,,
A18-01,1,2016,,,,,,
A18-02,0,2016,,,,,,
A18-03,0,2016,,,,,,
A18-04,0,2016,,,,,,
A19-01,2,2016,,,,,,
A19-02,0,2016,,,,,,
A19-03,1,2016,,,,,,
A19-04,2,2016,,,,,,
A19-05,0,2016,,,,,,
A19-06,0,2016,,,,,,
A20-01,0,2016,,,,,,
A20-02,0,2016,,,,,,
A20-03,2,2016,,,,,,
A20-04,2,2016,,,,,,
A20-05,3,2016,,,,,,
A21-01,NA,2016,,,,,,
A21-02,0,2016,,,,,,
A22-01,0,2016,,,,,,
A22-07,0,2016,,,,,,
A22-08,0,2016,,,,,,
A24-01,0,2016,,,,,,
A24-02,0,2016,,,,,,
A25-01,0,2016,,,,,,
A26-01,1,2016,,,,,,
A26-02,0,2016,,,,,,
A26-03,0,2016,,,,,,
A26-04,1,2016,,,,,,
A26-06,NA,2016,,,,,,
A27-01,0,2016,,,,,,
A27-02,0,2016,,,,,,
A27-03,0,2016,,,,,,
A27-04,0,2016,,,,,,
A27-05,0,2016,,,,,,
A27-06,0,2016,,,,,,
A27-07,0,2016,,,,,,
A27-08,0,2016,,,,,,
A27-10,0,2016,,,,,,
A27-12,0,2016,,,,,,
A27-17,0,2016,,,,,,
A27-18,0,2016,,,,,,
A27-19,0,2016,,,,,,
A27-21,NA,2016,,,,,,
A27-22,0,2016,,,,,,
A27-24,0,2016,,,,,,
A27-25,0,2016,,,,,,
A27-27,0,2016,,,,,,
A27-28,0,2016,,,,,,
A27-29,0,2016,,,,,,
A27-30,NA,2016,,,,,,
A27-31,0,2016,,,,,,
A27-32,NA,2016,,,,,,
A27-33,0,2016,,,,,,
A28-01,0,2016,,,,,,
A28-02,0,2016,,,,,,
A28-03,0,2016,,,,,,
A28-04,0,2016,,,,,,
A28-06,0,2016,,,,,,
A28-08,0,2016,,,,,,
A28-09,0,2016,,,,,,
A28-10,0,2016,,,,,,
A28-12,0,2016,,,,,,
A28-13,0,2016,,,,,,
A28-14,0,2016,,,,,,
A29-01,0,2016,,,,,,
A29-02,0,2016,,,,,,
A29-03,0,2016,,,,,,
A29-04,0,2016,,,,,,
A29-05,0,2016,,,,,,
A29-06,0,2016,,,,,,
A29-07,0,2016,,,,,,
A29-08,0,2016,,,,,,
A29-10,NA,2016,,,,,,
A29-11,NA,2016,,,,,,
A29-12,NA,2016,,,,,,
A29-13,NA,2016,,,,,,
A29-14,NA,2016,,,,,,
A29-15,NA,2016,,,,,,
A30-03,0,2016,,,,,,
A32-01,0,2016,,,,,,
A32-02,1,2016,,,,,,
A32-03,0,2016,,,,,,
A32-04,0,2016,,,,,,
A32-05,NA,2016,,,,,,
A32-06,0,2016,,,,,,
A32-07,0,2016,,,,,,
A33-01,0,2016,,,,,,
A33-02,0,2016,,,,,,
A33-03,0,2016,,,,,,
A33-04,0,2016,,,,,,
A33-05,NA,2016,,,,,,
A33-06,0,2016,,,,,,
A33-07,0,2016,,,,,,
A33-08,5,2016,,,,,,
A33-09,0,2016,,,,,,
A33-10,0,2016,,,,,,
A33-11,0,2016,,,,,,
A33-12,0,2016,,,,,,
A33-13,0,2016,,,,,,
A33-14,0,2016,,,,,,
A33-15,0,2016,,,,,,
A33-16,0,2016,,,,,,
A33-17,NA,2016,,,,,,
A33-18,0,2016,,,,,,
A33-23,NA,2016,,,,,,
A34-01,NA,2016,,,,,,
A34-02,0,2016,,,,,,
A34-03,0,2016,,,,,,
A34-04,0,2016,,,,,,
A34-05,0,2016,,,,,,
A34-06,0,2016,,,,,,
A34-07,0,2016,,,,,,
A34-08,0,2016,,,,,,
A34-17,0,2016,,,,,,
A34-21,0,2016,,,,,,
A34-22,0,2016,,,,,,
A34-23,0,2016,,,,,,
A34-24,0,2016,,,,,,
A34-25,0,2016,,,,,,
A34-26,0,2016,,,,,,
A34-27,0,2016,,,,,,
A34-31,0,2016,,,,,,
A34-32,NA,2016,,,,,,
A34-33,0,2016,,,,,,
A34-34,NA,2016,,,,,,
A34-35,0,2016,,,,,,
A34-37,NA,2016,,,,,,
A35-01,NA,2016,,,,,,
A35-03,0,2016,,,,,,
A35-04,0,2016,,,,,,
A35-05,0,2016,,,,,,
A35-06,0,2016,,,,,,
A35-07,0,2016,,,,,,
A35-08,NA,2016,,,,,,
A35-09,NA,2016,,,,,,
A35-10,0,2016,,,,,,
A35-12,0,2016,,,,,,
A35-13,0,2016,,,,,,
A36-01,0,2016,,,,,,
A36-02,0,2016,,,,,,
A36-03,0,2016,,,,,,
A36-04,0,2016,,,,,,
A36-05,NA,2016,,,,,,
A36-09,0,2016,,,,,,
A36-14,NA,2016,,,,,,
A36-15,0,2016,,,,,,
A36-16,0,2016,,,,,,
A37-01,0,2016,,,,,,
A37-02,0,2016,,,,,,
A37-03,0,2016,,,,,,
A37-04,0,2016,,,,,,
A37-05,NA,2016,,,,,,
A37-07,0,2016,,,,,,
A37-08,0,2016,,,,,,
A37-09,0,2016,,,,,,
A39-01,0,2016,,,,,,
A39-03,0,2016,,,,,,
A39-04,0,2016,,,,,,
A39-07,0,2016,,,,,,
A40-01,NA,2016,,,,,,
A40-02,NA,2016,,,,,,
A40-03,NA,2016,,,,,,
A40-05,NA,2016,,,,,,
A40-06,NA,2016,,,,,,
A40-09,NA,2016,,,,,,
A40-10,0,2016,,,,,,
A40-11,0,2016,,,,,,
A40-12,0,2016,,,,,,
A41-01,0,2016,,,,,,
A41-02,0,2016,,,,,,
A41-05,NA,2016,,,,,,
B06-01,0,2016,,,,,,
B10-01,0,2016,,,,,,
B10-02,0,2016,,,,,,
B10-03,NA,2016,,,,,,
B11-01,1,2016,,,,,,
B13-01,NA,2016,,,,,,
B13-02,0,2016,,,,,,
B13-03,0,2016,,,,,,
B14-01,0,2016,,,,,,
B14-02,1,2016,,,,,,
B14-03,0,2016,,,,,,
B14-04,0,2016,,,,,,
B16-01,NA,2016,,,,,,
B16-02,NA,2016,,,,,,
B21-01,1,2016,,,,,,
B28-01,0,2016,,,,,,
B28-04,NA,2016,,,,,,
B29-01,NA,2016,,,,,,
B29-02,0,2016,,,,,,
B30-01,0,2016,,,,,,
B30-02,1,2016,,,,,,
B30-04,1,2016,,,,,,
B32-01,0,2016,,,,,,
B32-02,0,2016,,,,,,
B32-03,NA,2016,,,,,,
B32-04,NA,2016,,,,,,
B32-05,NA,2016,,,,,,
B33-01,0,2016,,,,,,
B33-02,0,2016,,,,,,
B36-02,NA,2016,,,,,,
B37-01,NA,2016,,,,,,
B37-02,0,2016,,,,,,
B37-03,NA,2016,,,,,,
B38-01,0,2016,,,,,,
B38-02,NA,2016,,,,,,
B38-03,NA,2016,,,,,,
B38-04,NA,2016,,,,,,
B38-07,1,2016,,,,,,
B38-08,1,2016,,,,,,
C14-01,1,2016,,,,,,
C14-02,1,2016,,,,,,
C14-03,0,2016,,,,,,
C14-04,0,2016,,,,,,
C30-01,0,2016,,,,,,
C30-02,1,2016,,,,,,
C37-01,0,2016,,,,,,
C37-02,2,2016,,,,,,
C37-03,0,2016,,,,,,
C37-04,0,2016,,,,,,
C37-05,0,2016,,,,,,
A01-01,NA,2017,,,,,,
A01-02,0,2017,,,,,,
A01-03,0,2017,,,,,,
A02-01,0,2017,,,,,,
A02-02,NA,2017,,,,,,
A02-03,NA,2017,,,,,,
A03-01,0,2017,,,,,,
A03-03,0,2017,,,,,,
A03-06,NA,2017,,,,,,
A03-07,0,2017,,,,,,
A03-09,0,2017,,,,,,
A03-10,0,2017,,,,,,
A04-01,NA,2017,,,,,,
A04-02,NA,2017,,,,,,
A04-03,0,2017,,,,,,
A04-04,0,2017,,,,,,
A04-05,0,2017,,,,,,
A04-06,0,2017,,,,,,
A04-09,NA,2017,,,,,,
A04-10,0,2017,,,,,,
A05-01,0,2017,,,,,,
A05-04,NA,2017,,,,,,
A05-05,NA,2017,,,,,,
A05-06,NA,2017,,,,,,
A09-01,NA,2017,,,,,,
A09-02,0,2017,,,,,,
A09-03,0,2017,,,,,,
A09-04,0,2017,,,,,,
A09-05,NA,2017,,,,,,
A09-06,0,2017,,,,,,
A09-08,0,2017,,,,,,
A09-09,0,2017,,,,,,
A09-10,0,2017,,,,,,
A09-12,0,2017,,,,,,
A09-13,0,2017,,,,,,
A09-14,NA,2017,,,,,,
A09-15,0,2017,,,,,,
A09-16,0,2017,,,,,,
A09-17,0,2017,,,,,,
A09-18,NA,2017,,,,,,
A09-19,NA,2017,,,,,,
A09-20,0,2017,,,,,,
A09-22,NA,2017,,,,,,
A09-23,NA,2017,,,,,,
A09-24,0,2017,,,,,,
A09-26,NA,2017,,,,,,
A10-01,0,2017,,,,,,
A10-02,0,2017,,,,,,
A10-03,NA,2017,,,,,,
A10-04,NA,2017,,,,,,
A12-01,0,2017,,,,,,
A12-02,0,2017,,,,,,
A12-06,0,2017,,,,,,
A16-01,0,2017,,,,,,
A16-02,0,2017,,,,,,
A16-03,NA,2017,,,,,,
A16-04,NA,2017,,,,,,
A16-05,NA,2017,,,,,,
A17-01,0,2017,,,,,,
A17-02,NA,2017,,,,,,
A17-03,1,2017,,,,,,
A17-04,0,2017,,,,,,
A17-09,0,2017,,,,,,
A18-01,2,2017,,,,,,
A18-02,0,2017,,,,,,
A18-03,0,2017,,,,,,
A18-04,0,2017,,,,,,
A19-01,0,2017,,,,,,
A19-02,0,2017,,,,,,
A19-03,1,2017,,,,,,
A19-04,0,2017,,,,,,
A19-05,0,2017,,,,,,
A19-06,0,2017,,,,,,
A20-01,0,2017,,,,,,
A20-02,0,2017,,,,,,
A20-03,0,2017,,,,,,
A20-04,0,2017,,,,,,
A20-05,0,2017,,,,,,
A21-01,0,2017,,,,,,
A21-02,0,2017,,,,,,
A22-01,0,2017,,,,,,
A22-07,0,2017,,,,,,
A22-08,0,2017,,,,,,
A24-01,NA,2017,,,,,,
A24-02,1,2017,,,,,,
A25-01,1,2017,,,,,,
A26-01,1,2017,,,,,,
A26-02,0,2017,,,,,,
A26-03,0,2017,,,,,,
A26-04,2,2017,,,,,,
A26-06,NA,2017,,,,,,
A27-01,0,2017,,,,,,
A27-02,0,2017,,,,,,
